            Star Name               Unit    Barium     Europium      Lanthanum          Metallicity      External or Individual
             HIP20630               x/Fe     0.192       0.085          0.17               0.065                  E
            HIP202628               x/Fe     0.206       0.06          0.196               0.009                  E
             HIP30502               x/Fe     0.037       0.032          0.01              -0.053                  E
             HIP73815               x/Fe     -0.02      -0.008         -0.049              0.028                  E
             HIP77883               x/Fe    -0.016      -0.002         -0.011              0.023                  E
             HIP89650               x/Fe    -0.004       0.021         0.019              -0.013                  E
              HD9407                x/Fe     -0.09         x             x                 0.03                   E
             HD19445                x/Fe     -0.08         x             x                 -1.95                  E
             HD22879                x/Fe     -0.03         x             x                 -0.86                  E
             HD43042                x/Fe     -0.01         x             x                 0.04                   E
             HD52711                x/Fe     0.01          x             x                 -0.16                  E
             HD62301                x/Fe     -0.05         x             x                 -0.69                  E
             HD84937                x/Fe     0.01          x             x                 -2.07                  E
             HD103095               x/Fe     0.04          x             x                 -1.35                  E
             HD114762               x/Fe     -0.12         x             x                 -0.71                  E
             HD117176               x/Fe     -0.06         x             x                 -0.11                  E
             HD186408               x/Fe     -0.03         x             x                 0.06                   E
            BD 2 3375               x/Fe     -0.13         x             x                 -2.15                  E
            BD34 2476               x/Fe     0.09          x             x                 -1.96                  E
             BD66 268               x/Fe     0.07          x             x                 -2.2                   E
               HD97                 x/Fe      0.5          x             x                 -1.19                  E
              HD3008                x/Fe     0.08          x             x                 -1.93                  E
              HD3179                x/Fe     0.39          x             x                 -1.04                  E
              HD4306                x/Fe     -1.09         x             x                 -2.54                  E
             HD83212                x/Fe      0.4          x             x                 -1.43                  E
             HD88609                x/Fe     -0.7          x             x                 -2.93                  E
             HD93529                x/Fe     0.25          x             x                 -1.67                  E
             HD103545               x/Fe     -0.04         x             x                 -2.14                  E
             HD104893               x/Fe     0.08          x             x                 -1.97                  E
             HD107752               x/Fe     -0.24         x             x                 -2.69                  E
             HD108317               x/Fe     0.58          x             x                 -2.24                  E
             HD108577               x/Fe       0           x             x                 -2.28                  E
             HD115444               x/Fe     -0.05         x             x                 -2.77                  E
             HD121135               x/Fe      0.2          x             x                 -1.57                  E
             HD128279               x/Fe     -0.59         x             x                  -2                    E
             HD214362               x/Fe     0.47          x             x                 -1.9                   E
             CD-23 72               x/Fe     0.34          x             x                 -1.17                  E
            BD-15 5781              x/Fe     -0.57         x             x                 -2.36                  E
            BD-11 145               x/Fe     0.25          x             x                 -2.28                  E
            BD -1 2582              x/Fe      1.5          x             x                 -2.25                  E
            BD+3 2782               x/Fe     0.03          x             x                 -2.03                  E
             BD+42466               x/Fe      1.6          x             x                  -2                    E
            BD+182757               x/Fe     0.35          x             x                 -2.19                  E
            BD+182890               x/Fe     0.26          x             x                 -1.58                  E
            BD+521601               x/Fe     0.15          x             x                 -1.58                  E
